id,province_id:id,name
d_1,p_6,Ampara
d_2,p_8,Anuradhapura
d_3,p_7,Badulla
d_4,p_6,Batticaloa
d_5,p_1,Colombo
d_6,p_3,Galle
d_7,p_1,Gampaha
d_8,p_3,Hambantota
d_9,p_9,Jaffna
d_10,p_1,Kalutara
d_11,p_2,Kandy
d_12,p_5,Kegalle
d_13,p_9,Kilinochchi
d_14,p_4,Kurunegala
d_15,p_9,Mannar
d_16,p_2,Matale
d_17,p_3,Matara
d_18,p_7,Monaragala
d_19,p_9,Mullaitivu
d_20,p_2,Nuwara Eliya
d_21,p_8,Polonnaruwa
d_22,p_4,Puttalam
d_23,p_5,Ratnapura
d_24,p_6,Trincomalee
d_25,p_9,Vavuniya
