id,districts_id:id,name
c_2118,d_15,Chilavathurai
c_2119,d_15,Erukkalampiddy
c_2120,d_15,Illuppaikadavai
c_2121,d_15,Karisal
c_2122,d_15,Kokkupadayan
c_2123,d_15,Madhu Church
c_2124,d_15,Madhu Road
c_2125,d_15,Marichchikaddi
c_2126,d_15,Mullikulam
c_2127,d_15,Murunkan
c_2128,d_15,Nanattan
c_2129,d_15,Palampiddy
c_2130,d_15,Pallimunai
c_2131,d_15,Pandaraveli
c_2132,d_15,Pappamoddai
c_2133,d_15,Parappankandal
c_2134,d_15,Parappukadanthan
c_2135,d_15,Periyakunchikulam
c_2136,d_15,Periyamadhu
c_2137,d_15,Periyapandivirichchan
c_2138,d_15,Pesalai
c_2139,d_15,Potkerny
c_2140,d_15,Puthuveli
c_2141,d_15,Sooriyakaddaikadhu
c_2142,d_15,Thalaimannar
c_2143,d_15,Thalaimannar Pier
c_2144,d_15,Thalaimannar West
c_2145,d_15,Thalvupadu
c_2146,d_15,Tharapuram
c_2147,d_15,Thiruketheeswaram
c_2148,d_15,Uyilankulam
c_2149,d_15,Uyirtharasankulam
c_2150,d_15,Vaddakandal
c_2151,d_15,Vankalai
c_2152,d_15,Vellankulam
c_2153,d_15,Veppankulam
c_2154,d_15,Vidataltivu
c_2155,d_7,Mabola
